Site,Day/Time,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
DfE Sanctuary Buildings ,01/10/2015,113.61,122.81,114.69,110.36,111.45,110.91,111.99,111.45,116.32,124.97,226.68,266.17,267.8,264.01,273.75,292.14,313.24,292.14,310.53,367.34,387.9,366.26,368.42,364.63,366.26,355.44,374.91,357.6,373.29,361.39,375.45,370.04,359.77,354.36,344.62,340.29,318.11,314.32,199.63,161.76,142.28,131.46,124.97,122.81,128.76,120.64,121.73,120.64
DfE Sanctuary Buildings ,02/10/2015,117.94,116.32,111.99,110.91,112.53,110.36,111.99,110.91,114.15,123.89,226.14,271.58,259.68,261.3,274.83,285.11,301.34,322.44,331.63,338.67,335.96,347.86,349.49,347.86,360.85,354.9,354.36,357.6,360.85,358.14,355.44,357.6,351.65,343.54,342.99,331.63,312.16,295.39,193.14,152.56,141.74,134.17,122.81,116.86,113.07,110.91,111.99,109.28
DfE Sanctuary Buildings ,03/10/2015,110.36,110.91,110.36,110.91,108.74,110.36,110.91,110.36,120.64,122.27,113.07,107.66,111.99,110.91,112.53,114.69,115.77,128.22,117.94,116.86,118.48,129.3,127.68,124.43,126.05,120.64,119.56,121.18,119.02,119.02,119.02,119.02,119.56,119.02,116.86,122.27,120.64,114.69,111.99,110.91,110.36,112.53,109.82,111.45,108.2,108.2,115.77,120.64
DfE Sanctuary Buildings ,04/10/2015,114.69,107.66,109.82,107.66,108.2,107.66,108.2,107.66,107.12,109.28,107.12,108.2,108.74,108.2,109.28,107.12,108.74,111.45,111.45,113.07,119.56,112.53,113.07,110.36,113.07,114.15,123.35,129.3,116.32,116.86,115.77,113.07,115.23,115.23,115.77,115.23,110.36,116.86,115.23,116.86,111.45,108.2,109.82,106.04,108.2,105.5,115.23,118.48
DfE Sanctuary Buildings ,05/10/2015,113.61,107.66,107.12,108.74,107.12,107.66,111.45,109.28,121.18,130.92,231.55,296.47,295.39,263.47,281.86,294.3,307.83,334.88,352.73,364.63,363.01,364.09,377.08,379.78,381.95,383.03,384.65,384.11,381.95,380.86,377.08,375.45,377.08,369.5,364.09,355.98,339.21,321.35,207.74,160.68,150.4,136.33,124.43,117.94,115.77,121.73,120.1,112.53
DfE Sanctuary Buildings ,06/10/2015,110.91,111.45,111.45,124.97,116.32,111.45,111.45,112.53,114.15,126.59,228.3,294.85,285.11,282.94,301.88,317.57,332.17,357.6,370.04,372.75,379.78,385.73,385.73,392.23,388.98,393.31,390.6,384.65,386.27,385.73,386.27,380.32,375.45,373.29,367.34,358.68,343.54,322.44,204.5,160.68,142.82,132.54,124.97,117.94,120.1,121.18,121.18,123.89
DfE Sanctuary Buildings ,07/10/2015,111.45,109.82,112.53,110.91,112.53,109.82,113.61,112.53,113.07,125.51,231.55,296.47,292.68,280.24,297.55,309.99,327.85,348.4,360.31,365.18,372.21,371.13,380.86,370.59,372.21,368.96,371.13,373.29,363.01,368.42,363.01,354.36,352.73,345.16,345.16,334.34,323.52,312.7,205.04,165.55,150.94,134.71,125.51,122.27,121.18,117.4,121.18,124.97
DfE Sanctuary Buildings ,08/10/2015,116.32,110.91,112.53,113.07,110.91,110.91,114.15,113.07,111.99,125.51,221.81,259.14,259.14,259.14,275.37,289.44,309.99,325.68,341.37,342.99,347.32,358.68,347.32,337.58,363.55,362.47,365.18,360.31,354.36,356.52,352.73,349.49,344.08,342.45,336.5,331.63,316.49,302.96,200.71,162.3,149.86,140.66,131.46,121.18,117.4,112.53,110.36,110.36
DfE Sanctuary Buildings ,09/10/2015,111.45,111.99,111.99,110.36,110.36,111.45,112.53,112.53,121.18,135.79,226.68,264.01,257.52,261.84,271.04,285.65,299.71,320.27,335.96,340.29,338.67,342.99,345.7,350.03,353.81,354.36,353.27,350.57,353.27,359.22,350.03,347.86,343.54,342.99,331.63,322.98,309.99,298.09,198.01,158.51,140.66,129.84,122.27,111.99,119.56,120.1,116.86,121.73
DfE Sanctuary Buildings ,10/10/2015,110.91,110.91,109.28,111.99,109.82,108.2,108.2,107.66,109.82,107.66,109.82,107.66,110.36,107.12,110.36,110.91,110.91,121.73,124.43,122.81,119.02,119.56,117.4,116.86,115.23,117.4,116.86,119.56,117.94,117.94,118.48,113.61,111.99,111.99,111.45,111.99,112.53,111.99,109.28,109.28,106.58,108.74,107.66,108.74,109.28,111.99,116.32,107.66
